,Alto Biobio,Antuco,Arauco,Cabrero,Canete,Chiguayante,Concepcion,Contulmo,Coronel,Curanilahue,Florida,Hualpen,Hualqui,Laja,Lebu,Los Alamos,Los Angeles,Lota,Mulchen,Nacimiento,Negrete,Penco,Quilaco,Quilleco,San Pedro de la Paz,San Rosendo,Santa Barbara,Santa Juana,Talcahuano,Tirua,Tome,Tucapel,Yumbel,Desconocido Biobio,Total
2021-01-25,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,32.0
2021-01-29,0.0,0.0,0.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,30.0
2021-02-01,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,6.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,2.0,37.0
2021-02-05,1.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,33.0
2021-02-08,0.0,0.0,1.0,3.0,0.0,4.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,-1.0,29.0
2021-02-12,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,7.0,0.0,2.0,1.0,0.0,0.0,30.0
2021-02-15,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,3.0,1.0,1.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,32.0
2021-02-19,0.0,0.0,1.0,1.0,2.0,4.0,2.0,1.0,5.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0
2021-02-22,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0
2021-02-26,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,3.0,0.0,5.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.0
2021-03-01,0.0,0.0,1.0,0.0,2.0,4.0,8.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,50.0
2021-03-05,0.0,0.0,0.0,1.0,0.0,3.0,6.0,1.0,2.0,1.0,0.0,8.0,2.0,0.0,2.0,0.0,7.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,49.0
2021-03-08,0.0,1.0,1.0,0.0,0.0,5.0,7.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,9.0,1.0,1.0,0.0,1.0,0.0,49.0
2021-03-12,1.0,1.0,2.0,0.0,0.0,9.0,11.0,1.0,9.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,69.0
2021-03-15,0.0,0.0,0.0,1.0,2.0,6.0,9.0,0.0,6.0,2.0,2.0,8.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,62.0
2021-03-19,0.0,0.0,1.0,0.0,1.0,7.0,11.0,0.0,6.0,0.0,2.0,6.0,0.0,1.0,1.0,0.0,8.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,7.0,3.0,1.0,1.0,0.0,0.0,72.0
2021-03-22,0.0,0.0,4.0,0.0,0.0,1.0,7.0,0.0,2.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,7.0,1.0,1.0,1.0,-1.0,0.0,44.0
2021-03-26,0.0,0.0,3.0,1.0,0.0,2.0,7.0,1.0,5.0,1.0,0.0,5.0,1.0,0.0,0.0,2.0,7.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,2.0,0.0,1.0,0.0,56.0
2021-03-29,0.0,0.0,2.0,0.0,1.0,1.0,11.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,3.0,1.0,1.0,1.0,0.0,55.0
2021-04-02,0.0,0.0,0.0,2.0,1.0,9.0,7.0,0.0,5.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,1.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,66.0
2021-04-05,0.0,0.0,0.0,1.0,1.0,1.0,11.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,40.0
2021-04-09,0.0,0.0,1.0,1.0,-1.0,4.0,11.0,0.0,6.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,7.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,7.0,0.0,2.0,2.0,1.0,1.0,65.0
2021-04-12,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,10.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,43.0
2021-04-16,0.0,1.0,1.0,0.0,0.0,3.0,10.0,0.0,5.0,3.0,2.0,5.0,0.0,0.0,3.0,2.0,5.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,60.0
2021-04-19,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,7.0,0.0,1.0,-3.0,1.0,3.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,1.0,1.0,2.0,10.0,1.0,5.0,2.0,0.0,0.0,59.0
2021-04-23,0.0,-1.0,0.0,-1.0,0.0,-19.0,-10.0,-1.0,-3.0,0.0,-1.0,-13.0,1.0,2.0,-3.0,-1.0,-6.0,1.0,0.0,-2.0,-1.0,-7.0,0.0,0.0,-11.0,0.0,0.0,0.0,-26.0,0.0,-4.0,0.0,0.0,0.0,-106.0
