"dates","Algarrobo","Cabildo","Calera","Calle_Larga","Cartagena","Casablanca","Catemu","Concon","El_Quisco","El_Tabo","Hijuelas","Isla_de_Pascua","Juan_Fernandez","La_Cruz","La_Ligua","Limache","Llaillay","Los_Andes","Nogales","Olmue","Panquehue","Papudo","Petorca","Puchuncavi","Putaendo","Quillota","Quilpue","Quintero","Rinconada","San_Antonio","San_Esteban","San_Felipe","Santa_Maria","Santo_Domingo","Valparaiso","Villa_Alemana","Vina_del_Mar","Zapallar"
"20-09-16","7.2178601241472","14.5187049315201","23.8135223487242","5.20047844401685","5.44604007158726","9.30505901366374","23.789177802193","9.44307640901596","17.1774267141193","10.6277690320095","13.2143542793315","1.15063543842087","0","13.1643036741572","19.0531709649863","13.1610193495595","13.8192690862951","7.90235762993609","20.069330414158","8.15648588927941","3.74314536505025","15.3585059245437","9.02046744062277","6.64308371946257","7.28656438489252","13.4699064719972","11.3144578536445","7.77507626822695","0.422791863793373","9.59654642440062","4.61357822206536","7.30021090765575","6.69174616752059","9.57648016471546","17.0729485464767","13.2284627295754","14.784963770909","14.8921214720564"
"20-09-17","6.27640010795408","14.7491605653538","22.9249580819807","5.4893939131289","5.44604007158726","8.9785657149387","22.2241003152066","9.13176619772972","17.4458240065274","10.6277690320095","12.7156994008662","1.15063543842087","0","12.9762421930978","18.422271264159","12.7795405278332","13.1013849779161","7.90235762993609","19.0557278679884","7.41498717207219","3.74314536505025","16.1264312207708","9.02046744062277","6.64308371946257","8.09618264988058","13.0794744003451","11.5709568981856","7.51151436082943","0.422791863793373","9.54733336581395","4.61357822206536","7.64240829395212","5.81890971088747","9.57648016471546","17.0729485464767","13.4335551749951","14.7058997935244","16.6791760487032"
"20-09-18","5.64876009715867","15.2100718330211","22.1252502419116","5.4893939131289","5.63383455681441","8.81531906557618","20.6590228282202","9.02799612730097","17.7142212989355","10.9598868142598","12.2170445224008","1.15063543842087","0","12.4120577499196","17.7913715633316","12.3026920006752","12.3835008695371","7.9722899983426","18.0421253218188","6.67348845486497","3.74314536505025","17.6622818132252","8.56944406859163","6.40583072948177","8.90580091486864","12.6402383197365","11.6849564735371","7.37973340713067","0.422791863793373","9.3012680728806","4.84425713316863","7.92757278253242","5.5279642253431","9.17746015785232","16.967373776313","13.5019193234684","14.5345945091913","17.8705457664677"
"20-09-19","5.02112008636326","15.4405274668547","21.2366859751682","5.4893939131289","5.63383455681441","8.65207241621366","19.0939453412338","9.02799612730097","18.5194131761599","11.2920045965101","11.7183896439355","1.15063543842087","0","11.8478733067414","16.9081119821733","11.5397343572225","12.0245588153476","8.11215473515563","17.2312432848831","6.17915597672683","3.74314536505025","20.7339829981339","8.1184206965605","6.40583072948177","9.44554642486068","12.0545902122584","11.6564565796992","7.37973340713067","0.422791863793373","8.71071136984057","4.61357822206536","8.04163857796454","5.5279642253431","7.98040013726288","16.7562242359856","13.3993731007585","14.1788066109608","18.46623062535"
"20-09-20","5.02112008636326","15.6709831006884","20.3481217084247","5.4893939131289","5.63383455681441","8.32557911748861","17.5288678542475","9.13176619772972","19.5930023457923","11.6241223787604","11.9677170831682","1.15063543842087","0","11.0956273825039","15.8986724608495","10.8721464192014","11.4861457340634","8.25201947196866","16.0149202294796","5.93198973765775","3.11928780420854","23.8056841830427","8.1184206965605","6.16857773950096","9.7154191798567","11.4689421047803","11.456957322834","7.51151436082943","0","7.97251549104052","4.38289931096209","8.0986714756806","5.81890971088747","7.18236012353659","16.4696641455412","13.1942806553387","13.7176000762177","18.46623062535"
"20-09-21","4.70730008096556","15.6709831006884","19.63727029503","5.4893939131289","6.0094235272687","7.99908581876357","15.9637903672611","9.13176619772972","20.3981942230167","11.9562401610107","11.7183896439355","1.15063543842087","0","10.5314429393257","15.1415928198567","10.1091887757486","11.3066747069687","8.39188420878169","15.4067587017779","5.68482349858868","3.11928780420854","27.6453106641786","7.66739732452936","5.93132474952016","9.98529193485272","10.8832939973021","11.3714576413203","7.37973340713067","0","7.33274572941381","4.15222039985882","8.21273727111272","6.40080068197622","5.98530010294716","16.15293983505","13.0233702841556","13.2827482006027","17.8705457664677"
"20-09-22","4.70730008096556","15.6709831006884","19.2818445883326","5.4893939131289","6.38501249772299","7.67259252003853","14.3987128802747","8.82045598644348","20.3981942230167","12.288357943261","11.2197347654701","1.15063543842087","0","10.3433814582663","14.6368730591948","9.72770995402226","11.3066747069687","8.53174894559472","15.00131768331","5.19049102045053","2.49543024336683","29.9490865528601","8.1184206965605","5.69407175953935","10.5250374448448","10.2488418808675","11.3999575351582","7.24795245343191","0","6.93904126072045","4.15222039985882","8.32680306654484","7.27363713860934","5.58628009608402","15.806051304512","12.9550061356823","12.9269603023723","16.6791760487032"
"20-09-23","5.02112008636326","15.6709831006884","19.1041317349839","5.77830938224094","6.76060146817728","7.18285257195096","13.1466508906856","8.40537570472849","19.8613996382004","12.6204757255113","10.4717524477721","1.15063543842087","0","10.3433814582663","14.3845131788639","9.53697054315908","11.3066747069687","8.67161368240774","14.5958766648422","5.19049102045053","1.24771512168342","33.0207877377689","8.56944406859163","5.21956577957774","11.0647829548368","9.66319377338932","11.4854572166719","7.11617149973314","0","6.6929759677871","4.15222039985882","8.44086886197696","8.14647359524246","5.58628009608402","15.3988343338805","12.8866419872091","12.6107043928341","15.4878063309387"
"20-09-24","5.02112008636326","15.901438734522","18.8375624549609","5.4893939131289","7.32398492385873","7.01960592258844","11.8945889010965","7.9902954230135","19.0562077609761","12.9525935077616","9.72377013007413","1.15063543842087","4.60978195731342","10.3433814582663","14.1321532985329","9.44160083772749","11.3066747069687","8.74154605081426","13.9877151371404","4.69615854231239","0.623857560841709","34.5566383302232","8.56944406859163","4.98231278959693","11.3346557098328","9.02874165695467","11.5994567920234","6.98439054603438","0","6.59454985061376","3.92154148875556","8.66900045284121","9.01931005187558","5.58628009608402","15.0217815832958","12.8524599129724","12.3339804719882","14.8921214720564"
"20-09-25","5.02112008636326","15.901438734522","18.3044238949148","5.77830938224094","8.07516286476731","7.01960592258844","10.9555424089047","7.78275528215601","18.5194131761599","12.9525935077616","9.22511525160878","1.15063543842087","4.60978195731342","10.3433814582663","13.7536134780365","9.25086142686431","11.3066747069687","8.74154605081426","13.7849946279065","4.44899230324332","0","36.0924889226776","8.56944406859163","4.50780680963532","11.6045284648288","8.49189755843304","11.6564565796992","6.72082863863686","0","6.54533679202709","4.15222039985882","8.95416494142151","9.60120102296433","5.58628009608402","14.720139382828","12.8866419872091","12.1758525172191","14.2964366131742"
"20-09-26","4.70730008096556","15.6709831006884","16.9715774947997","6.06722485135299","9.01413529090305","7.83583916940105","10.9555424089047","7.88652535258476","17.7142212989355","12.6204757255113","8.97578781237612","1.15063543842087","4.60978195731342","10.1553199772069","12.9965338370437","8.86938260513795","11.1272036798739","8.4618165771882","13.1768331002047","4.20182606417424","0","37.628339515132","7.66739732452936","4.03330082967371","11.6045284648288","8.05266147782443","11.6279566858613","6.32548577754057","0","6.79140208496044","4.15222039985882","9.41042812314999","10.1830919940531","5.58628009608402","14.5391540625473","13.0575523583922","12.1890298467832","14.8921214720564"
"20-09-27","4.39348007556786","15.2100718330211","15.2833053879871","6.06722485135299","9.76531323181164","8.81531906557618","11.2685579063019","8.197835563871","17.1774267141193","11.6241223787604","8.47713293391078","1.15063543842087","4.60978195731342","10.1553199772069","11.9870943157199","8.58327348884318","10.7682616256845","8.04222236674912","12.7713920817369","4.20182606417424","0","38.3962648113592","7.21637395249822","4.03330082967371","11.6045284648288","7.75983742408536","11.6279566858613","5.79836196274552","0.422791863793373","7.08668043648046","4.61357822206536","10.0377899980267","10.4740374795974","5.18726008922087","14.448661402407","13.262644803812","12.3208031424241","15.4878063309387"
"20-09-28","4.07966007017015","14.9796161991874","13.950458987872","6.35614032046504","10.7042856579474","9.79479896175131","11.5815734036992","8.40537570472849","16.1038375444869","10.2956512497592","8.2278054946781","1.15063543842087","4.60978195731342","10.1553199772069","11.6085544952235","8.2971643725484","10.409319571495","7.90235762993609","12.3659510632691","3.95465982510517","0","39.1641901075863","6.76535058046708","3.55879484971209","11.3346557098328","7.5158173793028","11.5994567920234","5.66658100904676","0.422791863793373","7.38195878800048","4.84425713316863","10.5510860774712","10.4740374795974","5.18726008922087","14.3129224121965","13.3310089522852","12.3866897902446","16.0834911898209"
"20-09-29","3.76584006477245","14.7491605653538","13.3284640011516","6.35614032046504","11.455463598856","10.2845389098389","11.8945889010965","8.61291584558598","15.0302483748544","8.96718012075803","7.97847805544543","1.15063543842087","4.60978195731342","10.3433814582663","11.9870943157199","8.10642496168522","9.87090649021075","8.11215473515563","12.1632305540352","3.95465982510517","0","40.7000407000407","6.76535058046708","3.08428886975048","11.0647829548368","7.41820936138978","11.6564565796992","5.79836196274552","0.422791863793373","7.43117184658715","5.0749360442719","10.8362505660515","10.4740374795974","5.18726008922087","14.101772871869","13.1942806553387","12.3471578015523","16.0834911898209"
