dates,Alto_Biobio,Antuco,Arauco,Cabrero,Canete,Chiguayante,Concepcion,Contulmo,Coronel,Curanilahue,Florida,Hualpen,Hualqui,Laja,Lebu,Los_Alamos,Los_Angeles,Lota,Mulchen,Nacimiento,Negrete,Penco,Quilaco,Quilleco,San_Pedro_de_la_Paz,San_Rosendo,Santa_Barbara,Santa_Juana,Talcahuano,Tirua,Tome,Tucapel,Yumbel
2020-08-12,4.21718502899315,9.95288965563002,16.8665413371843,0.154984695261343,9.6517270800437,11.6984718871097,9.58013028977194,2.25682690137666,15.4783002934065,9.41365570186531,11.2603102215466,13.2175864393438,18.1745153311124,5.98404653194583,3.33860481461957,10.9935645364521,4.38021580734896,13.7392661982826,2.60791794569701,2.89695036331166,5.47922688108708,22.5370404855013,11.3948426941966,13.290802764487,8.55084127876199,2.63744378947924,13.7061403508772,3.22207508079353,16.0589670836284,3.02507789575582,17.0273629722965,4.07134244687681,7.74573339185665
2020-08-13,3.51432085749429,9.95288965563002,16.7434278967669,0.154984695261343,9.78041677444429,12.2729504172803,9.96013545784223,3.00910253516889,15.5539888033987,9.13265105404843,10.0538484120952,13.6092186301391,18.5380056377347,5.58511009648278,3.33860481461957,11.2049792390762,4.44559216268252,13.8433515482696,2.60791794569701,3.06735920821234,6.39243136126826,24.0649754336709,12.5343269636163,13.7654742917901,8.7140252726315,2.63744378947924,13.0534670008354,3.54428258887289,15.9386751953615,3.88938586597176,17.7571070996806,4.3845226350981,7.96089265274156
2020-08-14,3.51432085749429,8.84701302722668,16.7434278967669,0.154984695261343,9.78041677444429,12.7429783056017,10.4001414419236,3.00910253516889,15.5539888033987,8.85164640623156,9.24954053912757,14.0008508209345,19.083241097668,5.38564187875125,3.33860481461957,11.2049792390762,4.48917639957157,13.9474368982566,2.91473182166137,2.89695036331166,6.84903360135885,25.4019185133193,12.5343269636163,13.7654742917901,8.877209266501,2.63744378947924,12.4007936507937,3.86649009695224,15.8183833070947,4.32153985107974,18.5679339078852,4.6977028233194,8.17605191362647
2020-08-15,3.51432085749429,7.74113639882335,16.4972010159321,0.154984695261343,9.6517270800437,13.1085555520739,10.9201485140198,3.76137816896111,15.5539888033987,8.14913478668937,7.64092479319234,14.2456209401816,19.6284765576014,4.98670544328819,3.33860481461957,10.782149833828,4.44559216268252,14.0515222482436,3.52835957359008,2.89695036331166,6.84903360135885,26.1658859874041,12.5343269636163,13.7654742917901,9.13830365669221,2.63744378947924,11.7481203007519,4.18869760503159,15.7883103350279,4.75369383618771,19.5409260777307,4.6977028233194,8.39121117451137
2020-08-16,3.51432085749429,6.63525977042001,16.1278606946799,0.154984695261343,9.39434769124254,13.3696821566969,11.5401569461345,3.76137816896111,15.5161445484026,7.16561851933031,6.03230904725711,14.3924830117299,19.9919668642236,4.58776900782514,3.16288877174486,10.3593204285799,4.35842368890443,14.2596929482175,4.14198732551878,2.89695036331166,7.30563584144944,26.5478697244465,12.5343269636163,14.2401458190932,9.43203484565731,2.63744378947924,10.7691102756892,4.51090511311094,15.8183833070947,4.32153985107974,20.5950009283967,5.01088301154069,8.39121117451137
2020-08-17,3.51432085749429,4.42350651361334,15.7585203734277,0.154984695261343,9.26565799684195,13.6830340822444,12.100164562238,4.51365380275333,15.5161445484026,6.46310689978812,5.6301551107733,14.6862071548264,20.537202324157,4.18883257236208,3.16288877174486,9.93649102333173,4.27125521512635,14.2596929482175,4.60220813946532,3.06735920821234,8.21884032163062,27.1208453300101,12.5343269636163,14.2401458190932,9.69312923584852,2.63744378947924,10.1164369256475,4.8331126211903,15.9086022232948,4.75369383618771,21.7301584598831,5.01088301154069,8.17605191362647
2020-08-18,3.51432085749429,3.31762988521001,15.3891800521755,0.154984695261343,9.39434769124254,13.9441606868674,12.5601708183231,4.51365380275333,15.7053658233831,6.18210225197125,6.43446298374092,15.0778393456218,21.4459280907126,3.98936435463055,3.16288877174486,9.72507632070765,4.16229462290373,14.1556075982305,4.44880120148314,3.23776805311303,9.58864704190239,27.8848128040949,12.5343269636163,14.2401458190932,9.79103963217022,2.63744378947924,9.79010025062657,5.15532012926965,16.0288941115617,4.75369383618771,22.8653159913696,5.01088301154069,7.74573339185665
2020-08-19,3.51432085749429,2.21175325680667,14.8967262905059,0.154984695261343,9.6517270800437,14.2052872914904,12.9801765304008,4.51365380275333,15.9702756083559,6.18210225197125,7.23877085670853,15.567379584116,22.1729087039571,3.78989613689903,3.16288877174486,9.93649102333173,4.07512614912565,13.9474368982566,4.44880120148314,3.40817689801371,10.9584537621742,28.9352680809615,12.5343269636163,14.2401458190932,9.75840283339632,2.63744378947924,9.46376357560568,5.15532012926965,16.209331943962,5.18584782129568,24.000473522856,4.6977028233194,7.31541487008684
2020-08-20,3.51432085749429,2.21175325680667,14.6504994096711,0.154984695261343,10.0377961632455,14.5708645379626,13.4001822424785,4.51365380275333,16.2351853933286,6.18210225197125,8.04307872967614,16.1058738464596,22.8998893172016,3.39095970143597,3.16288877174486,9.72507632070765,3.94437343845851,13.7392661982826,4.44880120148314,3.74899458781509,12.7848627225365,29.8902274235674,11.3948426941966,14.2401458190932,9.75840283339632,1.31872189473962,9.46376357560568,5.477527637349,16.4799886925625,5.18584782129568,24.9734656927015,4.6977028233194,6.88509634831702
2020-08-21,3.51432085749429,2.21175325680667,14.7736128500885,0.154984695261343,10.2951755520466,15.1453430681332,13.8801887705673,4.51365380275333,16.4244066683091,6.18210225197125,8.84738660264376,16.6443681088033,23.6268699304461,3.39095970143597,3.16288877174486,9.72507632070765,3.87899708312495,13.6351808482956,4.29539426350096,4.26022112251714,14.1546694428083,30.6541948976522,10.2553584247769,13.7654742917901,9.85631322971802,1.31872189473962,9.46376357560568,5.79973514542836,16.8408643573631,5.18584782129568,25.7842925009061,4.3845226350981,6.66993708743212
2020-08-22,3.51432085749429,2.21175325680667,15.6354069330103,0.464954085784029,10.6812446352484,16.1898494866251,14.4401963866709,4.51365380275333,16.5000951783013,6.18210225197125,9.65169447561137,17.2807704188457,23.9903602370684,3.19149148370444,3.51432085749429,9.72507632070765,3.8354128462359,13.6351808482956,5.06242895341185,4.94185650211989,15.5244761630801,31.3226664374764,10.2553584247769,12.8161312371839,10.0847708211353,1.31872189473962,9.79010025062657,5.79973514542836,17.4122508266308,5.18584782129568,26.2707885858289,4.3845226350981,6.66993708743212
